municipality_id,subregion_id
2,2
10,1
14,3
23,2
25,7
26,1
30,4
34,2
35,1
37,2
40,6
46,1
48,5
49,1
50,8
51,2
57,1
65,6
67,2
71,4
73,8
78,8
78,7
82,6
92,4
93,1
99,8
100,3
101,7
107,4
119,4
122,6
131,6
133,6
139,7
141,2
142,6
144,4
155,2
157,2
158,2
163,1
164,5
165,1
166,4
168,4
170,3
171,6
174,2
175,8
176,1
177,7
178,1
184,4
185,7
187,7
189,1
189,8
196,4
198,3
199,8
207,1
208,7
213,5
219,6
220,8
229,4
231,6
243,1
244,8
246,5
248,1
251,6
252,4
258,4
262,1
264,6
266,8
269,7
274,1
277,3
284,5
285,8
286,2
288,2
291,4
298,4
305,5
307,8
308,1
314,1
315,3
317,3
320,4
333,3
335,8
336,6
342,5
344,5
346,1
347,5
350,7
136,3
