project_id,subregion_id
1,1
2,1
2,2
2,5
3,1
4,1
6,4
8,8
9,1
11,1
11,3
11,4
11,7
11,6
11,8
12,3
12,2
12,4
12,7
13,8
13,3
14,1
15,1
16,1
17,1
18,3
19,8
19,3
19,2
19,7
20,1
20,3
20,2
20,5
20,4
20,6
20,8
21,1
21,8
21,4
21,6
22,1
23,3
23,2
23,7
24,4
25,6
26,1
26,6
28,1
30,8
31,8
32,1
33,4
34,3
34,2
36,3
37,1
38,2
39,3
40,7
41,6
42,5
43,8
44,1
45,4
46,1
47,1
47,2
50,4
51,4
52,8
52,3
52,2
52,7
53,1
53,8
54,1
54,5
55,7
56,1
57,3
58,3
58,7
59,2
60,1
61,1
62,1
63,3
63,7
65,4
66,3
69,1
70,1
71,5
72,1
73,1
74,2
76,1
76,3
76,2
76,5
78,1
79,1
80,3
83,1
92,6
93,1
97,4
99,1
106,5
111,1
120,3
120,2
124,1
125,1
125,3
126,8
127,1
127,5
128,1
129,8
130,7
131,1
132,4
133,3
135,2
136,1
137,1
140,1
140,3
140,2
140,5
140,4
140,7
143,3
143,7
144,4
160,1
160,3
161,3
163,1
163,8
163,3
163,2
170,1
