municipality_id,region_id
1,11
2,7
3,13
4,1
5,12
6,1
7,6
8,12
9,6
10,7
11,8
12,8
13,4
14,7
15,8
16,13
17,3
18,11
19,8
20,2
21,3
22,1
23,7
24,12
25,7
26,7
27,13
28,3
29,4
30,7
31,10
32,3
33,12
34,7
35,7
36,2
37,7
38,6
39,3
40,7
41,2
42,11
43,12
44,11
45,3
46,7
47,4
48,7
49,7
50,7
51,7
52,13
53,4
54,3
55,2
56,10
57,7
58,1
59,12
60,12
61,12
62,5
63,1
64,8
65,7
66,4
67,7
68,4
69,12
70,1
71,7
72,13
73,7
74,4
75,2
76,13
77,3
78,7
79,10
80,3
81,10
82,7
82,9
83,11
84,3
85,12
86,2
87,12
88,11
89,5
90,1
91,4
92,7
93,7
94,13
95,13
96,2
97,8
98,1
99,7
100,7
101,7
102,13
103,8
104,5
105,6
106,4
107,7
108,12
109,5
110,3
111,12
112,12
113,1
114,4
115,8
116,6
117,12
118,11
119,7
120,12
121,1
122,7
123,11
124,3
125,8
126,2
127,12
128,6
129,4
130,4
131,7
132,1
133,7
134,3
135,12
136,7
137,12
138,3
139,7
140,8
141,7
142,7
143,12
144,7
145,11
146,13
147,8
148,1
149,6
150,1
151,3
152,1
153,8
154,4
155,7
156,4
157,7
158,7
159,12
160,10
161,12
162,8
163,7
164,7
165,7
166,7
167,13
168,7
169,13
170,7
171,7
172,2
173,13
174,7
175,7
176,7
177,7
178,7
179,3
180,6
181,6
182,13
183,12
184,7
185,7
186,3
187,7
188,3
189,7
190,4
191,12
192,4
193,1
194,12
195,1
196,7
197,9
198,7
199,7
200,1
201,13
202,3
203,1
204,4
205,6
206,6
207,7
208,7
209,1
210,6
211,13
212,3
213,7
214,12
215,3
216,3
217,4
218,13
219,7
220,7
221,5
222,3
223,4
224,2
225,1
226,3
227,12
228,3
229,7
230,12
231,7
231,9
232,10
233,1
234,8
235,8
236,1
237,12
238,13
239,11
240,11
241,3
242,2
243,7
244,7
245,13
246,7
247,13
248,7
249,1
250,13
251,7
252,7
253,4
254,6
255,8
256,12
257,3
258,7
259,6
260,1
261,2
262,7
263,1
264,7
265,13
266,7
267,1
268,4
269,7
270,8
271,3
272,4
273,13
274,7
275,12
276,12
277,7
278,3
279,12
280,3
281,12
282,8
283,1
284,7
285,7
285,9
286,7
287,3
288,7
289,4
290,3
291,7
292,13
293,13
294,8
295,10
296,5
297,12
298,7
299,8
300,2
301,10
302,1
303,3
304,3
305,7
306,12
307,7
308,7
309,12
310,13
311,3
312,4
313,1
314,7
315,7
316,3
317,7
318,2
319,4
320,7
321,3
322,11
323,3
324,6
325,12
326,1
327,5
328,3
329,12
330,10
331,12
332,8
333,7
334,13
335,7
336,7
337,4
338,11
339,12
340,12
341,1
342,7
343,8
344,7
345,1
346,7
347,7
348,3
349,12
350,7
351,2
